usernames,repo_name,stars,repo_url
public-apis,public-apis,241000,https://github.com/public-apis/public-apis
neovim,neovim,66100,https://github.com/neovim/neovim
tiangolo,fastapi,58200,https://github.com/tiangolo/fastapi
strapi,strapi,53900,https://github.com/strapi/strapi
hoppscotch,hoppscotch,51500,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,47700,https://github.com/ocornut/imgui
meilisearch,meilisearch,36600,https://github.com/meilisearch/meilisearch
slatedocs,slate,35200,https://github.com/slatedocs/slate
hasura,graphql-engine,29800,https://github.com/hasura/graphql-engine
ccxt,ccxt,28300,https://github.com/ccxt/ccxt
Kong,insomnia,28200,https://github.com/Kong/insomnia
Binaryify,NeteaseCloudMusicApi,28000,https://github.com/Binaryify/NeteaseCloudMusicApi
httpie,httpie,27800,https://github.com/httpie/httpie
YMFE,yapi,26100,https://github.com/YMFE/yapi
trpc,trpc,25800,https://github.com/trpc/trpc
encode,django-rest-framework,25600,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,23900,https://github.com/littlecodersh/ItChat
directus,directus,21600,https://github.com/directus/directus
microsoft,api-guidelines,21400,https://github.com/microsoft/api-guidelines
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
