usernames,repo_name,stars,repo_url
jwasham,coding-interview-university,258000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,170000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,164000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,159000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,90800,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,59800,https://github.com/kdn251/interviews
TheAlgorithms,Java,52000,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,51200,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,42800,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,38800,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29700,https://github.com/halfrost/LeetCode-Go
huihut,interview,29000,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27300,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,JavaScript,26600,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,24500,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22600,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21300,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21300,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,18700,https://github.com/AtsushiSakai/PythonRobotics
