usernames,repo_name,stars,repo_url
amphp,amp,3900,https://github.com/amphp/amp
danog,MadelineProto,2400,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,757,https://github.com/unreal4u/telegram-api
amphp,parallel,665,https://github.com/amphp/parallel
amphp,http-client,656,https://github.com/amphp/http-client
php-service-bus,service-bus,339,https://github.com/php-service-bus/service-bus
amphp,byte-stream,328,https://github.com/amphp/byte-stream
amphp,mysql,310,https://github.com/amphp/mysql
amphp,parallel-functions,242,https://github.com/amphp/parallel-functions
amphp,process,211,https://github.com/amphp/process
amphp,socket,191,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,170,https://github.com/xtrime-ru/TelegramRSS
amphp,redis,138,https://github.com/amphp/redis
amphp,sync,135,https://github.com/amphp/sync
amphp,dns,134,https://github.com/amphp/dns
amphp,websocket-client,122,https://github.com/amphp/websocket-client
kelunik,acme,117,https://github.com/kelunik/acme
amphp,serialization,96,https://github.com/amphp/serialization
amphp,websocket-server,93,https://github.com/amphp/websocket-server
