usernames,repo_name,stars,repo_url
sindresorhus,awesome,255000,https://github.com/sindresorhus/awesome
vinta,awesome-python,169000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,133000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,102000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,98200,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,72800,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,69100,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,65200,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,60700,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,55600,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,55300,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,51500,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,51200,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,47300,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,46900,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,46400,https://github.com/fffaraz/awesome-cpp
wasabeef,awesome-android-ui,46400,https://github.com/wasabeef/awesome-android-ui
binhnguyennus,awesome-scalability,45200,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,42900,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,41000,https://github.com/tiimgreen/github-cheat-sheet
