usernames,repo_name,stars,repo_url
bregman-arie,devops-exercises,43400,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,16100,https://github.com/pulumi/pulumi
microsoft,recommenders,15700,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,13900,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,13000,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,12900,https://github.com/mozilla/sops
caprover,caprover,10400,https://github.com/caprover/caprover
infracost,infracost,9100,https://github.com/infracost/infracost
google,go-cloud,9000,https://github.com/google/go-cloud
microsoft,computervision-recipes,9000,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8100,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7100,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,6700,https://github.com/Netflix/metaflow
node-formidable,formidable,6600,https://github.com/node-formidable/formidable
midwayjs,midway,6600,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,6100,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,5900,https://github.com/aquasecurity/tfsec
budtmo,docker-android,5700,https://github.com/budtmo/docker-android
bridgecrewio,checkov,5600,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,5400,https://github.com/nccgroup/ScoutSuite
