usernames,repo_name,stars,repo_url
jlevy,the-art-of-command-line,136000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,67200,https://github.com/nvm-sh/nvm
junegunn,fzf,52300,https://github.com/junegunn/fzf
google,zx,37400,https://github.com/google/zx
starship,starship,34300,https://github.com/starship/starship
dylanaraps,pure-bash-bible,33600,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,33600,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,32200,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,31600,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,29000,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,27400,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,24000,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,22000,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18100,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,17600,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17100,https://github.com/Nyr/openvpn-install
rbenv,rbenv,15100,https://github.com/rbenv/rbenv
kingToolbox,WindTerm,14500,https://github.com/kingToolbox/WindTerm
faressoft,terminalizer,14100,https://github.com/faressoft/terminalizer
shelljs,shelljs,13800,https://github.com/shelljs/shelljs
