usernames,repo_name,stars,repo_url
bitcoin,bitcoin,69600,https://github.com/bitcoin/bitcoin
ccxt,ccxt,28300,https://github.com/ccxt/ccxt
freqtrade,freqtrade,21700,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17900,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10300,https://github.com/solana-labs/solana
bbfamily,abu,10000,https://github.com/bbfamily/abu
askmike,gekko,9900,https://github.com/askmike/gekko
dvf,blockchain,7400,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6900,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6500,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6400,https://github.com/spesmilo/electrum
butor,blackbird,5700,https://github.com/butor/blackbird
btcsuite,btcd,5300,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,5000,https://github.com/bitcoinjs/bitcoinjs-lib
btcpayserver,btcpayserver,4900,https://github.com/btcpayserver/btcpayserver
jesse-ai,jesse,4700,https://github.com/jesse-ai/jesse
bitcoinj,bitcoinj,4600,https://github.com/bitcoinj/bitcoinj
getumbrel,umbrel,4400,https://github.com/getumbrel/umbrel
CryptoSignal,Crypto-Signal,4400,https://github.com/CryptoSignal/Crypto-Signal
