usernames,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,159000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,52300,https://github.com/junegunn/fzf
sharkdp,bat,41300,https://github.com/sharkdp/bat
sherlock-project,sherlock,41300,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,38000,https://github.com/BurntSushi/ripgrep
google,zx,37400,https://github.com/google/zx
wagoodman,dive,36800,https://github.com/wagoodman/dive
chubin,cheat.sh,35300,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,35100,https://github.com/jesseduffield/lazygit
cli,cli,32400,https://github.com/cli/cli
spf13,cobra,31900,https://github.com/spf13/cobra
n8n-io,n8n,30500,https://github.com/n8n-io/n8n
httpie,httpie,27800,https://github.com/httpie/httpie
sharkdp,fd,27500,https://github.com/sharkdp/fd
alebcay,awesome-shell,27400,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,26700,https://github.com/ibraheemdev/modern-unix
angular,angular-cli,26100,https://github.com/angular/angular-cli
acheong08,ChatGPT,25600,https://github.com/acheong08/ChatGPT
tqdm,tqdm,24900,https://github.com/tqdm/tqdm
google,python-fire,24600,https://github.com/google/python-fire
